,average,minimum,maximum,standard_deviation
total,2.706777777777778,1.21,4.27,1.2057789945799715
us_30yr_mortgage_rate,5.143761111111111,2.684,7.62,1.6438715746945196
germany_10y_bund_yield,1.176743627972222,-0.6490909091,3.0465,1.3969580638076766
us_10y_treasury_yield,2.939451674054115,0.6236363636363637,4.798095238095239,1.3502924712674689
germany_mortgage_spread,1.5300341498055552,0.8799999999999999,2.0790909091,0.2974353445477777
us_mortgage_spread,2.2043094370569962,1.3415,2.965904761904762,0.45121503377876054
mortgage_rate_gap_us_minus_germany,2.4369833333333335,1.4740000000000002,3.5900000000000003,0.5325336748860494
