model,variable,coefficient,p_value,r_squared
Germany mortgage rate,const,1.7286226568672647,8.405538526599873e-86,0.9858230926095083
Germany mortgage rate,ecb_policy_rate,0.1895544283694974,3.436637156257961e-16,0.9858230926095083
Germany mortgage rate,germany_10y_bund_yield,0.6369538792280088,1.2987945061631622e-43,0.9858230926095083
US 30Y mortgage rate,const,1.9481030971995903,2.6874159101011026e-33,0.9602588064486731
US 30Y mortgage rate,fed_funds_rate,0.2236214697082725,1.1980054732496673e-06,0.9602588064486731
US 30Y mortgage rate,us_10y_treasury_yield,0.8792627052426139,1.8438355376099852e-23,0.9602588064486731
